Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Months Code,Months,Unit,Value,Flag,Flag Description
"PP","Producer Prices","102","Iran (Islamic Republic of)","5532","Producer Price (USD/tonne)","1020","Milk, whole fresh goat","2020","2020","7021","Annual value","USD","1713","","Official data"
"PP","Producer Prices","102","Iran (Islamic Republic of)","5532","Producer Price (USD/tonne)","982","Milk, whole fresh sheep","2020","2020","7021","Annual value","USD","2250","","Official data"
"PP","Producer Prices","102","Iran (Islamic Republic of)","5532","Producer Price (USD/tonne)","79","Millet","2020","2020","7021","Annual value","USD","1080","","Official data"
"PP","Producer Prices","102","Iran (Islamic Republic of)","5532","Producer Price (USD/tonne)","260","Olives","2020","2020","7021","Annual value","USD","2764","","Official data"
"PP","Producer Prices","102","Iran (Islamic Republic of)","5532","Producer Price (USD/tonne)","403","Onions, dry","2020","2020","7021","Annual value","USD","631","","Official data"
"PP","Producer Prices","102","Iran (Islamic Republic of)","5532","Producer Price (USD/tonne)","211","Pulses nes","2020","2020","7021","Annual value","USD","5392","","Official data"
"PP","Producer Prices","102","Iran (Islamic Republic of)","5532","Producer Price (USD/tonne)","27","Rice, paddy","2020","2020","7021","Annual value","USD","2341","","Official data"
"PP","Producer Prices","102","Iran (Islamic Republic of)","5532","Producer Price (USD/tonne)","1185","Silk-worm cocoons, reelable","2020","2020","7021","Annual value","USD","18724","","Official data"
"PP","Producer Prices","102","Iran (Islamic Republic of)","5532","Producer Price (USD/tonne)","373","Spinach","2020","2020","7021","Annual value","USD","623","","Official data"
"PP","Producer Prices","102","Iran (Islamic Republic of)","5532","Producer Price (USD/tonne)","423","String beans","2020","2020","7021","Annual value","USD","1452","","Official data"
"PP","Producer Prices","102","Iran (Islamic Republic of)","5532","Producer Price (USD/tonne)","388","Tomatoes","2020","2020","7021","Annual value","USD","446","","Official data"
"PP","Producer Prices","102","Iran (Islamic Republic of)","5532","Producer Price (USD/tonne)","420","Vegetables, leguminous nes","2020","2020","7021","Annual value","USD","451","","Official data"
"PP","Producer Prices","102","Iran (Islamic Republic of)","5532","Producer Price (USD/tonne)","15","Wheat","2020","2020","7021","Annual value","USD","591","","Official data"
"PP","Producer Prices","102","Iran (Islamic Republic of)","5532","Producer Price (USD/tonne)","987","Wool, greasy","2020","2020","7021","Annual value","USD","1105","","Official data"
"PP","Producer Prices","149","Nepal","5532","Producer Price (USD/tonne)","44","Barley","2020","2020","7021","Annual value","USD","301","","Official data"
"PP","Producer Prices","149","Nepal","5532","Producer Price (USD/tonne)","1062","Eggs, hen, in shell","2020","2020","7021","Annual value","USD","2363","","Official data"
"PP","Producer Prices","149","Nepal","5532","Producer Price (USD/tonne)","406","Garlic","2020","2020","7021","Annual value","USD","1032","","Official data"
"PP","Producer Prices","149","Nepal","5532","Producer Price (USD/tonne)","201","Lentils","2020","2020","7021","Annual value","USD","686","","Official data"
"PP","Producer Prices","149","Nepal","5532","Producer Price (USD/tonne)","56","Maize","2020","2020","7021","Annual value","USD","272","","Official data"
"PP","Producer Prices","149","Nepal","5532","Producer Price (USD/tonne)","951","Milk, whole fresh buffalo","2020","2020","7021","Annual value","USD","570","","Official data"
"PP","Producer Prices","149","Nepal","5532","Producer Price (USD/tonne)","882","Milk, whole fresh cow","2020","2020","7021","Annual value","USD","512","","Official data"
"PP","Producer Prices","149","Nepal","5532","Producer Price (USD/tonne)","79","Millet","2020","2020","7021","Annual value","USD","309","","Official data"
"PP","Producer Prices","149","Nepal","5532","Producer Price (USD/tonne)","403","Onions, dry","2020","2020","7021","Annual value","USD","346","","Official data"
"PP","Producer Prices","149","Nepal","5532","Producer Price (USD/tonne)","27","Rice, paddy","2020","2020","7021","Annual value","USD","263","","Official data"
"PP","Producer Prices","149","Nepal","5532","Producer Price (USD/tonne)","15","Wheat","2020","2020","7021","Annual value","USD","295","","Official data"
"PP","Producer Prices","38","Sri Lanka","5532","Producer Price (USD/tonne)","414","Beans, green","2020","2020","7021","Annual value","USD","712","","Official data"
"PP","Producer Prices","38","Sri Lanka","5532","Producer Price (USD/tonne)","358","Cabbages and other brassicas","2020","2020","7021","Annual value","USD","372","","Official data"
"PP","Producer Prices","38","Sri Lanka","5532","Producer Price (USD/tonne)","426","Carrots and turnips","2020","2020","7021","Annual value","USD","672","","Official data"
"PP","Producer Prices","38","Sri Lanka","5532","Producer Price (USD/tonne)","401","Chillies and peppers, green","2020","2020","7021","Annual value","USD","1770","","Official data"
"PP","Producer Prices","38","Sri Lanka","5532","Producer Price (USD/tonne)","195","Cow peas, dry","2020","2020","7021","Annual value","USD","1196","","Official data"
"PP","Producer Prices","38","Sri Lanka","5532","Producer Price (USD/tonne)","397","Cucumbers and gherkins","2020","2020","7021","Annual value","USD","193","","Official data"
"PP","Producer Prices","38","Sri Lanka","5532","Producer Price (USD/tonne)","399","Eggplants (aubergines)","2020","2020","7021","Annual value","USD","411","","Official data"
"PP","Producer Prices","38","Sri Lanka","5532","Producer Price (USD/tonne)","1062","Eggs, hen, in shell","2020","2020","7021","Annual value","USD","1383","","Official data"
"PP","Producer Prices","38","Sri Lanka","5532","Producer Price (USD/tonne)","407","Leeks, other alliaceous vegetables","2020","2020","7021","Annual value","USD","498","","Official data"
"PP","Producer Prices","38","Sri Lanka","5532","Producer Price (USD/tonne)","56","Maize","2020","2020","7021","Annual value","USD","334","","Official data"
"PP","Producer Prices","38","Sri Lanka","5532","Producer Price (USD/tonne)","951","Milk, whole fresh buffalo","2020","2020","7021","Annual value","USD","457","","Official data"
"PP","Producer Prices","38","Sri Lanka","5532","Producer Price (USD/tonne)","882","Milk, whole fresh cow","2020","2020","7021","Annual value","USD","398","","Official data"
"PP","Producer Prices","38","Sri Lanka","5532","Producer Price (USD/tonne)","79","Millet","2020","2020","7021","Annual value","USD","1184","","Official data"
"PP","Producer Prices","38","Sri Lanka","5532","Producer Price (USD/tonne)","403","Onions, dry","2020","2020","7021","Annual value","USD","689","","Official data"
"PP","Producer Prices","38","Sri Lanka","5532","Producer Price (USD/tonne)","394","Pumpkins, squash and gourds","2020","2020","7021","Annual value","USD","343","","Official data"
"PP","Producer Prices","38","Sri Lanka","5532","Producer Price (USD/tonne)","27","Rice, paddy","2020","2020","7021","Annual value","USD","266","","Official data"
"PP","Producer Prices","38","Sri Lanka","5532","Producer Price (USD/tonne)","388","Tomatoes","2020","2020","7021","Annual value","USD","472","","Official data"
